epoch,train_loss,val_loss,mae,rmse,r2
1,0.406285,0.287804,0.633293,0.804524,0.232639
2,0.316392,0.292127,0.629258,0.79543,0.24989
3,0.246787,0.275604,0.605981,0.775341,0.287301
4,0.214429,0.274704,0.610578,0.768431,0.299947
5,0.176575,0.269767,0.597551,0.768961,0.29898
6,0.158939,0.271294,0.6069,0.765289,0.305661
7,0.137566,0.258089,0.587999,0.749607,0.333824
8,0.128892,0.261712,0.592167,0.753707,0.326517
9,0.12016,0.253328,0.58022,0.744573,0.342742
10,0.099018,0.258702,0.586391,0.749838,0.333414
11,0.095926,0.246741,0.561911,0.735153,0.359267
12,0.101313,0.244147,0.561425,0.730275,0.367742
13,0.089284,0.2395,0.556071,0.722631,0.380909
14,0.096387,0.235945,0.548791,0.719819,0.385717
15,0.090827,0.242926,0.556967,0.728038,0.37161
16,0.080127,0.23941,0.550769,0.721062,0.383595
17,0.082252,0.234827,0.548773,0.715328,0.39336
18,0.074659,0.238695,0.555296,0.71892,0.387252
19,0.080698,0.236501,0.553377,0.716999,0.390521
20,0.085101,0.2406,0.553596,0.728604,0.370632
21,0.078617,0.238055,0.555871,0.719531,0.38621
22,0.07828,0.238987,0.5493,0.725409,0.376139
23,0.07382,0.238454,0.552472,0.720348,0.384815
24,0.070484,0.23294,0.544271,0.7132,0.396964
25,0.066518,0.237526,0.550653,0.718554,0.387874
26,0.068278,0.235989,0.548644,0.714624,0.394552
27,0.075571,0.235375,0.548772,0.713948,0.395697
28,0.071625,0.233909,0.551392,0.7112,0.40034
29,0.077087,0.234755,0.542548,0.717809,0.389144
30,0.068085,0.233218,0.544152,0.714904,0.394078
