epoch,train_loss,val_loss,mae,rmse,r2
1,0.40794,0.341748,0.70055,0.896533,0.233806
2,0.319667,0.288046,0.632597,0.816966,0.36377
3,0.240601,0.272186,0.611536,0.780553,0.41922
4,0.20436,0.270872,0.607642,0.775927,0.426084
5,0.190894,0.26473,0.58814,0.754821,0.456882
6,0.178555,0.24284,0.568584,0.717479,0.509291
7,0.133977,0.260023,0.581136,0.744101,0.472199
8,0.133653,0.251419,0.562892,0.729523,0.492677
9,0.122709,0.258043,0.576552,0.742634,0.474279
10,0.115143,0.247305,0.560202,0.720182,0.505586
11,0.106584,0.253255,0.572006,0.733252,0.487477
12,0.103203,0.253537,0.567851,0.727626,0.495312
13,0.103327,0.252136,0.570929,0.72973,0.49239
14,0.079663,0.24498,0.562809,0.718063,0.508491
15,0.094648,0.25205,0.569229,0.732351,0.488736
16,0.07477,0.248143,0.569451,0.724001,0.500329
17,0.0861,0.244344,0.566423,0.716721,0.510327
18,0.0758,0.247374,0.565665,0.721334,0.504003
19,0.075782,0.24802,0.571933,0.725715,0.49796
20,0.079448,0.245693,0.564031,0.722547,0.502333
21,0.080798,0.244168,0.559461,0.715165,0.512451
22,0.074001,0.246059,0.566902,0.720405,0.505279
23,0.074691,0.243199,0.561422,0.715753,0.511649
24,0.069736,0.242162,0.561155,0.712043,0.516698
25,0.073278,0.243161,0.564915,0.719591,0.506397
26,0.064344,0.245171,0.562039,0.719063,0.507121
27,0.064115,0.245085,0.558676,0.716063,0.511225
28,0.070473,0.243378,0.561651,0.716776,0.510251
29,0.071735,0.24461,0.561576,0.718661,0.507672
30,0.088959,0.245658,0.563067,0.720347,0.50536
