epoch,train_loss,val_loss,mae,rmse,r2
1,0.403247,0.332781,0.681712,0.889941,0.257976
2,0.302004,0.315281,0.646158,0.839369,0.339913
3,0.276026,0.277604,0.593828,0.787953,0.418304
4,0.222473,0.246277,0.555368,0.735433,0.493264
5,0.180916,0.233807,0.536276,0.717805,0.517266
6,0.150725,0.234245,0.547317,0.719358,0.515175
7,0.14979,0.23065,0.546735,0.711672,0.525479
8,0.133672,0.228889,0.543519,0.705484,0.533696
9,0.134519,0.225695,0.534852,0.704454,0.535057
10,0.12182,0.232749,0.553952,0.71325,0.523373
11,0.084063,0.22111,0.537646,0.696015,0.546129
12,0.109026,0.221739,0.532898,0.696693,0.545244
13,0.107746,0.220616,0.533024,0.693576,0.549305
14,0.077591,0.214584,0.528735,0.68332,0.562534
15,0.086591,0.219146,0.53654,0.691263,0.552305
16,0.069769,0.216336,0.528075,0.687243,0.557497
17,0.087544,0.215087,0.528623,0.684547,0.560962
18,0.087178,0.23322,0.557349,0.714908,0.521154
19,0.082537,0.214035,0.522687,0.684396,0.561156
20,0.082165,0.223269,0.541742,0.697325,0.544419
21,0.070984,0.217939,0.528016,0.688868,0.555402
22,0.073013,0.220317,0.533356,0.693512,0.549388
23,0.071645,0.223106,0.540425,0.698463,0.54293
24,0.080246,0.214174,0.525761,0.684184,0.561427
25,0.068782,0.215993,0.526956,0.687857,0.556706
26,0.060525,0.218717,0.533861,0.691418,0.552104
27,0.075238,0.21814,0.531819,0.690815,0.552886
28,0.074197,0.217435,0.530905,0.690245,0.553623
29,0.062588,0.2173,0.528677,0.690236,0.553634
30,0.076595,0.213378,0.518999,0.682718,0.563306
