epoch,train_loss,val_loss,mae,rmse,r2
1,0.347161,0.286357,0.599217,0.802738,0.385738
2,0.255021,0.265901,0.553669,0.777634,0.423556
3,0.22405,0.25976,0.545797,0.776961,0.424554
4,0.200644,0.255716,0.537591,0.767058,0.43913
5,0.17989,0.247053,0.519932,0.756065,0.455091
6,0.156623,0.251867,0.539213,0.76012,0.449229
7,0.139938,0.252946,0.538719,0.76158,0.447112
8,0.113392,0.255822,0.5442,0.767281,0.438803
9,0.128968,0.255651,0.540977,0.77055,0.43401
10,0.11808,0.253149,0.540716,0.763258,0.444673
11,0.108253,0.265808,0.555968,0.783873,0.41427
12,0.108552,0.246456,0.527455,0.756411,0.454591
13,0.078898,0.246437,0.523722,0.753097,0.459359
14,0.087795,0.257674,0.537493,0.770948,0.433427
15,0.078446,0.247527,0.530116,0.749821,0.464053
16,0.081523,0.255709,0.540325,0.762802,0.445336
17,0.072067,0.251188,0.532606,0.757114,0.453577
18,0.066418,0.249104,0.524372,0.755787,0.455491
19,0.078333,0.261486,0.544834,0.775631,0.426522
20,0.066178,0.25366,0.533933,0.761512,0.447211
21,0.076566,0.255457,0.535013,0.766769,0.439553
22,0.064097,0.252541,0.534923,0.761475,0.447264
23,0.067209,0.256266,0.540574,0.767557,0.4384
24,0.057068,0.254012,0.53598,0.763652,0.444099
25,0.062905,0.254524,0.53388,0.765049,0.442063
26,0.063332,0.251937,0.530661,0.7607,0.448389
27,0.054767,0.253068,0.533334,0.76306,0.444961
28,0.062211,0.257574,0.541039,0.769397,0.435703
29,0.063538,0.256732,0.536392,0.769418,0.435673
30,0.06119,0.254842,0.534552,0.765454,0.441473
