epoch,train_loss,val_loss,mae,rmse,r2
1,0.40304,0.290702,0.652824,0.80997,0.363235
2,0.308697,0.265487,0.608201,0.757851,0.442547
3,0.251299,0.22288,0.537637,0.691523,0.535854
4,0.213748,0.221548,0.534423,0.685363,0.544087
5,0.192364,0.208849,0.524896,0.666469,0.568878
6,0.169944,0.224545,0.547943,0.691476,0.535918
7,0.14025,0.229843,0.551314,0.697535,0.527749
8,0.133677,0.242071,0.558287,0.719315,0.497797
9,0.125157,0.194157,0.495888,0.638164,0.604719
10,0.135621,0.203571,0.513553,0.655703,0.582694
11,0.115638,0.220524,0.530193,0.684511,0.545219
12,0.100309,0.209467,0.520502,0.665478,0.570159
13,0.101818,0.200259,0.505131,0.653108,0.58599
14,0.099732,0.199185,0.511506,0.64839,0.59195
15,0.089356,0.198979,0.506812,0.648462,0.591859
16,0.094864,0.206774,0.513511,0.660654,0.576367
17,0.089746,0.20715,0.522653,0.660458,0.576619
18,0.086108,0.204935,0.514746,0.657248,0.580725
19,0.073195,0.193442,0.501105,0.639296,0.603316
20,0.078401,0.188203,0.495275,0.631895,0.612447
21,0.069752,0.202056,0.51341,0.655663,0.582745
22,0.069649,0.200439,0.508538,0.650247,0.589609
23,0.078156,0.183527,0.484959,0.623035,0.623239
24,0.069192,0.184094,0.487977,0.624042,0.62202
25,0.065103,0.198535,0.50412,0.647096,0.593577
26,0.069985,0.191005,0.496421,0.633972,0.609896
27,0.065387,0.194887,0.500429,0.64147,0.600614
28,0.067118,0.188563,0.490867,0.63006,0.614694
29,0.070456,0.196903,0.506615,0.646056,0.594882
30,0.066101,0.197211,0.505204,0.644717,0.596559
