epoch,train_loss,val_loss,mae,rmse,r2
1,0.35623,0.227822,0.547496,0.701872,0.521859
2,0.269327,0.214147,0.526814,0.672788,0.560663
3,0.242364,0.216619,0.515308,0.678524,0.553139
4,0.201527,0.195761,0.493356,0.634969,0.608667
5,0.194159,0.192066,0.4827,0.628977,0.616018
6,0.163241,0.192394,0.490525,0.633067,0.611009
7,0.145645,0.196414,0.499068,0.64159,0.600464
8,0.134119,0.192043,0.482739,0.633833,0.610066
9,0.118943,0.187328,0.474208,0.625365,0.620416
10,0.1272,0.186088,0.474609,0.622199,0.62425
11,0.100828,0.180876,0.474233,0.613003,0.635275
12,0.095016,0.1803,0.470042,0.61535,0.632476
13,0.082516,0.184364,0.472389,0.619692,0.627271
14,0.082286,0.18544,0.469761,0.622501,0.623885
15,0.080265,0.182291,0.476099,0.614962,0.63294
16,0.091365,0.180484,0.472502,0.613693,0.634453
17,0.084117,0.187772,0.473467,0.629787,0.615029
18,0.067609,0.187681,0.474333,0.630826,0.613757
19,0.077073,0.185537,0.480084,0.625579,0.620156
20,0.076452,0.178391,0.464299,0.613156,0.635092
21,0.066422,0.178826,0.468055,0.615723,0.63203
22,0.069324,0.17772,0.464417,0.613132,0.63512
23,0.072244,0.180852,0.47176,0.616811,0.630729
24,0.065505,0.176189,0.462783,0.609904,0.638953
25,0.070733,0.177969,0.471724,0.610794,0.637898
26,0.06462,0.175,0.459057,0.608242,0.640918
27,0.063943,0.180218,0.473279,0.614439,0.633564
28,0.058679,0.17711,0.465976,0.610827,0.637859
29,0.067349,0.177308,0.466055,0.611563,0.636986
30,0.064819,0.176183,0.462015,0.609567,0.639351
