epoch,train_loss,val_loss,mae,rmse,r2
1,0.360435,0.415255,0.78864,0.999793,0.23096
2,0.264347,0.367992,0.722678,0.9357,0.3264
3,0.215384,0.342789,0.68679,0.897785,0.379884
4,0.171009,0.336806,0.674356,0.886107,0.395911
5,0.161091,0.31257,0.648211,0.843893,0.452098
6,0.101627,0.300544,0.637919,0.827484,0.473198
7,0.10255,0.298165,0.626065,0.818032,0.485164
8,0.088227,0.286096,0.611254,0.801908,0.50526
9,0.075591,0.278626,0.591492,0.80006,0.507537
10,0.076943,0.285686,0.607833,0.797236,0.511007
11,0.064194,0.281086,0.608716,0.787886,0.52241
12,0.072305,0.274095,0.589855,0.787149,0.523304
13,0.072137,0.269002,0.591286,0.777058,0.535447
14,0.070318,0.271953,0.586957,0.775463,0.537352
15,0.056,0.277086,0.592085,0.789598,0.520332
16,0.051732,0.281464,0.610545,0.794935,0.513827
17,0.049717,0.272313,0.588636,0.786468,0.524128
18,0.046487,0.275187,0.591341,0.783487,0.527728
19,0.051274,0.269361,0.583576,0.777149,0.535338
20,0.04574,0.271942,0.592854,0.780882,0.530863
21,0.047464,0.275015,0.60036,0.784088,0.527003
22,0.047938,0.270648,0.590326,0.777559,0.534847
23,0.043604,0.272771,0.588501,0.78446,0.526554
24,0.046503,0.270602,0.58584,0.784938,0.525977
25,0.045803,0.272128,0.591607,0.782791,0.528566
26,0.047126,0.270208,0.583715,0.778269,0.533998
27,0.039051,0.27211,0.588139,0.781661,0.529927
28,0.046523,0.273102,0.594352,0.78099,0.530734
29,0.048958,0.271586,0.590775,0.781269,0.530399
30,0.045648,0.272234,0.590673,0.78125,0.530422
