epoch,train_loss,val_loss,mae,rmse,r2
1,0.33108,0.289262,0.632795,0.800347,0.399861
2,0.264968,0.249106,0.567066,0.733294,0.496208
3,0.218364,0.242408,0.554343,0.732447,0.49737
4,0.201581,0.250144,0.572197,0.743776,0.481702
5,0.174386,0.233944,0.543047,0.718079,0.516897
6,0.153544,0.22989,0.53848,0.709229,0.528732
7,0.164781,0.250497,0.576272,0.743706,0.481799
8,0.14582,0.221887,0.521894,0.697973,0.543571
9,0.131035,0.222882,0.528621,0.700635,0.540083
10,0.118542,0.218729,0.527796,0.691135,0.552471
11,0.101335,0.21514,0.521337,0.687865,0.556695
12,0.089205,0.21259,0.517326,0.684082,0.561558
13,0.097251,0.215385,0.520563,0.686976,0.55784
14,0.092309,0.211397,0.51384,0.679072,0.567957
15,0.083097,0.211998,0.517671,0.681443,0.564935
16,0.07702,0.212965,0.522467,0.682079,0.564123
17,0.07644,0.21296,0.512544,0.68297,0.562983
18,0.067243,0.217995,0.525963,0.691187,0.552404
19,0.077427,0.218312,0.523841,0.69189,0.551492
20,0.06641,0.211537,0.514338,0.678597,0.568561
21,0.067232,0.215855,0.519939,0.686206,0.558831
22,0.064107,0.208418,0.5078,0.671196,0.577921
23,0.07185,0.20833,0.508817,0.673673,0.5748
24,0.065663,0.207791,0.506473,0.67196,0.576959
25,0.065182,0.204956,0.503407,0.667369,0.58272
26,0.062232,0.206527,0.507068,0.66912,0.580527
27,0.057783,0.20774,0.509473,0.671169,0.577955
28,0.06386,0.206919,0.503914,0.670277,0.579076
29,0.064653,0.204893,0.502897,0.666985,0.5832
30,0.062812,0.208776,0.510093,0.672177,0.576685
