epoch,train_loss,val_loss,mae,rmse,r2
1,0.38872,0.314593,0.662382,0.850769,0.321861
2,0.289981,0.254274,0.584642,0.745493,0.479306
3,0.225815,0.224539,0.539537,0.692106,0.551212
4,0.185278,0.204311,0.508349,0.658499,0.593739
5,0.151021,0.200638,0.491853,0.648104,0.606463
6,0.133398,0.21319,0.518116,0.673361,0.575193
7,0.100199,0.208931,0.50467,0.665204,0.585423
8,0.088764,0.200874,0.494693,0.651715,0.602066
9,0.093355,0.208973,0.512214,0.66687,0.583344
10,0.076062,0.196408,0.485681,0.644452,0.610886
11,0.081254,0.187581,0.474011,0.625862,0.633011
12,0.063749,0.185639,0.475264,0.624644,0.634439
13,0.067196,0.187016,0.473206,0.628399,0.63003
14,0.064334,0.182306,0.466628,0.61765,0.642579
15,0.054574,0.176689,0.45281,0.608245,0.653381
16,0.057526,0.183071,0.463154,0.621232,0.638421
17,0.058574,0.185113,0.4632,0.62397,0.635227
18,0.062394,0.1844,0.469694,0.622713,0.636695
19,0.055135,0.187164,0.476841,0.629392,0.62886
20,0.050319,0.184472,0.469119,0.624983,0.634041
21,0.045876,0.186469,0.470514,0.62844,0.629982
22,0.049892,0.192349,0.482311,0.638632,0.617882
23,0.043076,0.186097,0.466183,0.629495,0.628739
24,0.055774,0.188533,0.473743,0.632865,0.624753
25,0.049475,0.184347,0.466993,0.625009,0.634011
26,0.051945,0.186017,0.466068,0.629343,0.628918
27,0.0449,0.186384,0.472893,0.627735,0.630811
28,0.047914,0.183952,0.464712,0.625354,0.633607
29,0.05082,0.185103,0.468414,0.625299,0.633671
30,0.049406,0.186871,0.469495,0.62955,0.628674
