image,taken_on,period,trees,storefronts,lampposts
0/20161003/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161003-1126.raw/4/dr5rspq2fuv0-dr5rspq2f95w-cds-b6d8aab376c7ce54-20161003-1126-146.jpg,2016-10-03 11:35:38-04:00,morning,1,0,0
0/20160915/fdeb4f0c0eb1bc3c/cds-fdeb4f0c0eb1bc3c-20160915-1323.raw/3/dr5rsp5cgerb-dr5rsp5f42c2-cds-fdeb4f0c0eb1bc3c-20160915-1323-5.jpg,2016-09-15 13:24:32-04:00,afternoon,0,0,0
0/20160917/ea91d096e3932939/cds-ea91d096e3932939-20160917-1456.raw/4/dr5rsn75gf3y-dr5rsn7hh946-cds-ea91d096e3932939-20160917-1456-4.jpg,2016-09-17 14:56:44-04:00,afternoon,0,0,0
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-1206.raw/4/dr5rsn6qry94-dr5rsn6w81v0-cds-5c44399458a254ea-20160919-1206-26.jpg,2016-09-19 12:08:26-04:00,morning,1,0,0
0/20160924/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20160924-1512.raw/3/dr5rsnce5m3d-dr5rsncfb0sq-cds-6fef7e6f017c3f89-20160924-1512-18.jpg,2016-09-24 15:14:14-04:00,afternoon,1,0,0
0/20160924/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20160924-1454.raw/3/dr5rsncdk8ff-dr5rsncdnek8-cds-6fef7e6f017c3f89-20160924-1454-86.jpg,2016-09-24 15:01:22-04:00,afternoon,0,1,0
0/20160930/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160930-1618.raw/4/dr5rsnsqmpnf-dr5rsnsqmr3p-cds-33f01c9134eaa6b5-20160930-1618-79.jpg,2016-09-30 16:24:04-04:00,afternoon,0,0,0
0/20161005/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20161005-1652.raw/3/dr5rsn75cyf4-dr5rsn75cxmu-cds-6fef7e6f017c3f89-20161005-1652-43.jpg,2016-10-05 16:59:18-04:00,afternoon,0,1,0
0/20161007/774e09b0c084a069/cds-774e09b0c084a069-20161007-0929.raw/4/dr5rsp174b3u-dr5rsp16k8g3-cds-774e09b0c084a069-20161007-0929-17.jpg,2016-10-07 09:30:18-04:00,morning,0,0,0
0/20161007/774e09b0c084a069/cds-774e09b0c084a069-20161007-0919.raw/4/dr5rsp1779yz-dr5rsp16mux2-cds-774e09b0c084a069-20161007-0919-216.jpg,2016-10-07 09:26:56-04:00,morning,0,0,0
