epoch,train_loss,val_loss,mae,rmse,r2
1,0.403173,0.34025,0.699011,0.900806,0.226484
2,0.306578,0.285496,0.626314,0.820057,0.358946
3,0.271837,0.274286,0.595202,0.794362,0.39849
4,0.200678,0.270025,0.583819,0.782022,0.417032
5,0.187014,0.263825,0.589409,0.763267,0.44466
6,0.173368,0.271558,0.608355,0.783147,0.415354
7,0.171164,0.245071,0.552809,0.726787,0.496476
8,0.123944,0.244492,0.554959,0.727296,0.495769
9,0.11419,0.250766,0.554778,0.74377,0.472669
10,0.134732,0.242215,0.55047,0.731253,0.490269
11,0.111208,0.241998,0.542862,0.718697,0.507624
12,0.08617,0.247284,0.565075,0.736551,0.482856
13,0.095088,0.243934,0.554375,0.727845,0.495008
14,0.091864,0.242395,0.55233,0.723421,0.501129
15,0.076884,0.252918,0.565781,0.741955,0.475239
16,0.075698,0.242171,0.559943,0.720467,0.505195
17,0.089168,0.242046,0.550232,0.721825,0.503328
18,0.085884,0.244942,0.555946,0.724761,0.499279
19,0.077872,0.247283,0.556198,0.7299,0.492153
20,0.071339,0.244174,0.549767,0.720137,0.505648
21,0.078,0.246958,0.551343,0.722403,0.502531
22,0.071781,0.240845,0.55049,0.717139,0.509755
23,0.068237,0.240521,0.542441,0.713465,0.514765
24,0.077228,0.240129,0.547295,0.715403,0.512126
25,0.063323,0.239355,0.549013,0.71561,0.511843
26,0.070225,0.239812,0.547742,0.714798,0.51295
27,0.064313,0.240942,0.547331,0.718766,0.507529
28,0.062291,0.24125,0.548606,0.71454,0.513302
29,0.08038,0.238529,0.542718,0.711001,0.518112
30,0.06167,0.238489,0.543818,0.712045,0.516695
