epoch,train_loss,val_loss,mae,rmse,r2
1,0.405189,0.365752,0.740536,0.90121,0.211697
2,0.314548,0.271374,0.609042,0.774621,0.417602
3,0.259313,0.216045,0.521679,0.683159,0.547014
4,0.230571,0.246526,0.580658,0.727379,0.486474
5,0.201121,0.242957,0.56819,0.718751,0.498585
6,0.154621,0.213616,0.525475,0.670464,0.563693
7,0.142673,0.209673,0.517516,0.664273,0.571714
8,0.142366,0.233333,0.562891,0.704818,0.517836
9,0.125552,0.201102,0.501164,0.656148,0.582127
10,0.113254,0.236593,0.559083,0.710511,0.510016
11,0.113006,0.210602,0.518854,0.669834,0.564512
12,0.109531,0.197886,0.497786,0.649743,0.590245
13,0.092217,0.193934,0.489916,0.644304,0.597076
14,0.094023,0.191799,0.491376,0.638887,0.603823
15,0.114483,0.212197,0.522992,0.67316,0.560177
16,0.082603,0.190542,0.490994,0.635052,0.608566
17,0.098799,0.191278,0.494924,0.631529,0.612896
18,0.085929,0.195917,0.496094,0.641307,0.600817
19,0.089949,0.201397,0.506864,0.648247,0.59213
20,0.077858,0.203015,0.509969,0.651769,0.587686
21,0.07709,0.197968,0.505394,0.644739,0.596533
22,0.079872,0.202665,0.505137,0.651398,0.588155
23,0.079247,0.189047,0.489803,0.630381,0.614302
24,0.061193,0.19555,0.501048,0.641823,0.600174
25,0.077407,0.190552,0.491084,0.633556,0.610407
26,0.076244,0.192143,0.495827,0.63658,0.606679
27,0.083363,0.188695,0.488233,0.629562,0.615304
28,0.073284,0.195271,0.49648,0.641908,0.600068
29,0.07327,0.193634,0.494933,0.636468,0.606818
30,0.069902,0.19128,0.491257,0.632817,0.611316
