epoch,train_loss,val_loss,mae,rmse,r2
1,0.328004,0.36103,0.712446,0.941316,0.318291
2,0.232234,0.326615,0.6794,0.876026,0.409579
3,0.213256,0.311776,0.649077,0.855737,0.43661
4,0.181033,0.28958,0.612374,0.828191,0.472297
5,0.177179,0.273524,0.604054,0.793751,0.515274
6,0.15776,0.269283,0.598108,0.786912,0.523591
7,0.137665,0.259699,0.583882,0.765596,0.549051
8,0.110887,0.25371,0.57217,0.760956,0.554501
9,0.116608,0.247722,0.563371,0.752325,0.564549
10,0.11226,0.25743,0.580646,0.759032,0.55675
11,0.10589,0.245791,0.567016,0.75325,0.563477
12,0.088483,0.253386,0.57648,0.756571,0.55962
13,0.078817,0.250491,0.566962,0.757631,0.558385
14,0.072609,0.247384,0.562974,0.751645,0.565335
15,0.079642,0.244542,0.564223,0.745116,0.572855
16,0.071514,0.244475,0.562099,0.745854,0.572008
17,0.070387,0.235734,0.552446,0.730595,0.589341
18,0.070352,0.238507,0.5531,0.737464,0.581582
19,0.065584,0.236529,0.550956,0.729087,0.591035
20,0.063949,0.236351,0.544729,0.732539,0.587152
21,0.06131,0.236951,0.553831,0.731963,0.587801
22,0.062512,0.237028,0.551611,0.731475,0.58835
23,0.05464,0.239183,0.556679,0.732952,0.586687
24,0.053581,0.236108,0.551294,0.727525,0.592784
25,0.05934,0.235393,0.551172,0.726072,0.59441
26,0.054076,0.234459,0.544499,0.727792,0.592486
27,0.05359,0.232775,0.544705,0.72449,0.596175
28,0.058965,0.231524,0.541435,0.721998,0.598948
29,0.053088,0.232154,0.548579,0.719361,0.601872
30,0.061157,0.233758,0.547402,0.724288,0.5964
